|LEVEL|NAME|EMPID|TYPE|
|6|BIS_CREDIT_PH01A_RTAACA_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_RTAACODE_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_S5PF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SDAD_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SDDU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SDGR_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SDSZPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SEUDDY10_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SEUY10_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SEZLPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SPRU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SPTU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_SPTU_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_UREPTPFFUL_COMPARE_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_UREPTPFFUL_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_UREPTPFFUL_PREV_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_XINSPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_YDDOPPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_YDDTRNPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_YDDTRNPF_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_YOVHI_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_YOVPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_YZAEPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|7|BIS_CREDIT_AUTH_FULL_PH01A_AC22LF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT\\AUTHORIZATION|JOB|
|7|BIS_CREDIT_AUTH_FULL_PH01A_EXTRACT_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT\\AUTHORIZATION|JOB|
|7|BIS_CREDIT_CONDITION_PH01A_CD_D4PF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT\\CONDITION|JOB|
